ReturnYear,Jacks_Total_OPIH,Smolts_Normal,Delayed,Smolts_Total,OPIH_Jacks_Smolt
2011,23.3,18.2,0.3,18.5,0.001259459
2012,17.9,18.1,0.9,19,0.000942105
2013,26.3,17.1,1.1,18.2,0.001445055
2014,51.4,18,0.6,18.6,0.002763441
2015,39.6,16.9,1.5,18.4,0.002152174
2016,19.7,16.9,1.3,18.2,0.001082418
2017,22.9,16.5,1.3,17.8,0.001286517
2018,19.2,16,0.7,16.7,0.001149701
2019,47.4,18.6,0.5,19.1,0.002481675
2020,15.2,16.8,0.2,17,0.000894118
2021,92.3,18.1,0.4,18.5,0.004989189
2022,63.7,17.6,0.3,17.9,0.003558659
2023,52.7,16.8,0.3,17.1,0.003081871
2024,75.2,19.6,0.2,19.8,0.00379798
2025,50.7,19.6,0.4,20,0.002535
